Nuclide;Z;N;A;Nuclide
n-1;0;1;1;1n
H-1;1;0;1;1H
H-2;1;1;2;2H
H-3;1;2;3;3H
H-4;1;3;4;4H
H-5;1;4;5;5H
H-6;1;5;6;6H
H-7;1;6;7;7H
He-3;2;1;3;3He
He-4;2;2;4;4He
He-5;2;3;5;5He
He-5;2;3;5;5He
He-6;2;4;6;6He
He-7;2;5;7;7He
He-8;2;6;8;8He
He-8;2;6;8;8He
He-9;2;7;9;9He
He-10;2;8;10;10He
Li-3;3;0;3;3Li
Li-4;3;1;4;4Li
Li-5;3;2;5;5Li
Li-5;3;2;5;5Li
Li-6;3;3;6;6Li
Li-7;3;4;7;7Li
Li-8;3;5;8;8Li
Li-8;3;5;8;8Li
Li-9;3;6;9;9Li
Li-9;3;6;9;9Li
Li-10;3;7;10;10Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-11;3;8;11;11Li
Li-12;3;9;12;12Li
Li-13;3;10;13;13Li
Be-5;4;1;5;5Be
Be-6;4;2;6;6Be
Be-6;4;2;6;6Be
Be-7;4;3;7;7Be
Be-8;4;4;8;8Be
Be-9;4;5;9;9Be
Be-10;4;6;10;10Be
Be-11;4;7;11;11Be
Be-11;4;7;11;11Be
Be-11;4;7;11;11Be
Be-12;4;8;12;12Be
Be-12;4;8;12;12Be
Be-13;4;9;13;13Be
Be-15;4;11;15;15Be
Be-16;4;12;16;16Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
Be-14;4;10;14;14Be
B-17;5;12;17;17B
B-17;5;12;17;17B
B-17;5;12;17;17B
B-17;5;12;17;17B
B-17;5;12;17;17B
B-18;5;13;18;18B
B-19;5;14;19;19B
B-19;5;14;19;19B
B-19;5;14;19;19B
B-19;5;14;19;19B
B-20;5;15;20;20B
B-21;5;16;21;21B
B-15;5;10;15;15B
B-15;5;10;15;15B
B-15;5;10;15;15B
B-16;5;11;16;16B
B-6;5;1;6;6B
B-7;5;2;7;7B
B-7;5;2;7;7B
B-8;5;3;8;8B
B-8;5;3;8;8B
B-9;5;4;9;9B
B-9;5;4;9;9B
B-10;5;5;10;10B
B-11;5;6;11;11B
B-12;5;7;12;12B
B-12;5;7;12;12B
B-13;5;8;13;13B
B-13;5;8;13;13B
B-14;5;9;14;14B
B-14;5;9;14;14B
C-8;6;2;8;8C
C-8;6;2;8;8C
C-9;6;3;9;9C
C-9;6;3;9;9C
C-9;6;3;9;9C
C-10;6;4;10;10C
C-11;6;5;11;11C
